Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,,PC1,PC2,PC3
Nobody Knows,Born to be XX,KISS OF LIFE,pop,195960,0.655,0.646,-4.322,0.116,0.278,0,0.927,90.055,,-1.232843422,-1.825385683,0.298067684
Nothing On Me,KAI - The 1st Mini Album,KAI,pop,160786,0.517,0.626,-4.057,0.0627,0.036,3.42E-05,0.324,105.212,,-0.238572891,-0.199647952,0.152686853
Promise,Promise,Jimin,pop,151011,0.692,0.534,-7.155,0.0433,0.83,5.57E-06,0.739,88.964,,-3.661417391,-1.328412667,-0.582280793
Snow Flower (feat. Peakboy),Snow Flower (feat. Peakboy),"V,Peakboy",pop,229013,0.767,0.435,-5.732,0.0388,0.377,4.14E-05,0.355,97.529,,-2.444918765,-0.269939142,0.353009819
SUGA's Interlude,Manic,"Halsey,SUGA,BTS",pop,138204,0.441,0.732,-6.88,0.186,0.0866,0,0.244,78.7,,-0.207206853,0.093489752,-0.830851213
Paradise,Love Yourself 轉 'Tear',BTS,pop,211223,0.551,0.828,-5.523,0.352,0.214,0,0.928,139.662,,0.395676141,-1.439928535,-1.341072339
Like Crazy,FACE,Jimin,pop,212241,0.629,0.733,-5.445,0.0419,0.0025,0,0.362,120.001,,-0.174871052,-0.22917388,0.708328271
Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),Jung Kook,pop,210928,0.512,0.76,-5.889,0.0682,0.299,0,0.495,130.096,,-0.626839687,-0.009846261,-0.024985546
Make It Right,MAP OF THE SOUL : PERSONA,BTS,pop,226321,0.639,0.706,-7.874,0.448,0.0104,0,0.259,105.782,,0.330504155,0.002995846,-1.61904119
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,pop,200929,0.585,0.815,-4.165,0.0565,0.115,0,0.564,132.09,,0.110123367,-0.731024998,0.421464049
Save Me,The Most Beautiful Moment in Life: Young Forever,BTS,pop,196505,0.613,0.822,-3.48,0.062,0.0269,0,0.54,139.936,,0.539802949,-0.894050578,0.366749155
Somebody,GOLDEN,Jung Kook,pop,168599,0.65,0.679,-5.557,0.0477,0.286,0,0.256,106.059,,-1.100562115,-0.280521011,-0.081201933
Any Day Now,INSIDE,Bo Burnham,pop,57962,0.731,0.164,-14.19,0.0498,0.896,0,0.378,89.752,,-6.208299472,-0.790162214,-2.906468708
Piano Man,Piano Man (Legacy Edition),Billy Joel,metal,339000,0.331,0.55,-6.483,0.0272,0.605,3.96E-06,0.429,177.734,,-1.66794651,2.070486823,0.10165836
Euphoria,Love Yourself 結 'Answer',BTS,pop,228615,0.637,0.799,-4.518,0.0338,0.394,0,0.57,104.996,,-1.09335397,-0.607429335,0.852788416
The Future,INSIDE (DELUXE),Bo Burnham,pop,93705,0.723,0.918,-5.858,0.0359,0.542,0,0.826,140.061,,-1.295565192,-2.567497076,-0.935041198
WTFIGO,THE INSIDE OUTTAKES,Bo Burnham,pop,54317,0.638,0.473,-6.973,0.0383,0.697,0,0.97,199.861,,-2.656673037,-2.57883101,-2.819001887
Feel Good,INSIDE (DELUXE),Bo Burnham,pop,43248,0.49,0.428,-7.944,0.0372,0.125,1.46E-05,0.836,200.44,,-1.357838838,-1.985240982,-2.37370608
Five Years,INSIDE (DELUXE),Bo Burnham,pop,228679,0.833,0.502,-10.42,0.372,0.733,3.18E-06,0.536,93,,-3.120262246,-0.747907492,-2.272619921
Microwave Popcorn,INSIDE (DELUXE),Bo Burnham,pop,147496,0.714,0.715,-7.086,0.0815,0.32,1.87E-06,0.678,160.009,,-1.018492203,-1.546839178,-1.128352288
Spider,THE INSIDE OUTTAKES,Bo Burnham,pop,35463,0.345,0.763,-3.732,0.0641,0.000328,0.000781,0.797,160.634,,0.681016792,-2.166976648,-1.620319513
This Isn’t A Joke,THE INSIDE OUTTAKES,Bo Burnham,pop,72556,0.61,0.355,-10.101,0.0403,0.495,0.627,0.0848,133.489,,-2.764614834,0.722505046,-3.246140553
Oh Bo (Studio),Words Words Words,Bo Burnham,pop,303986,0.671,0.711,-5.732,0.0546,0.213,0,0.75,133.875,,-0.871252656,-0.565378062,1.01180611
What's Funny,Words Words Words,Bo Burnham,pop,278626,0.535,0.683,-6.924,0.297,0.844,0,0.613,116.095,,-1.897728241,0.241185338,-1.578806597
Intro,What.,Bo Burnham,pop,568813,0.375,0.877,-5.694,0.529,0.559,2.60E-05,0.199,84.199,,0.143408347,2.890050411,-0.075832985
One Man Shows,Words Words Words,Bo Burnham,pop,288546,0.463,0.595,-13.31,0.933,0.808,0,0.391,74.443,,-2.335487052,1.322066129,-3.647504212
Ironic,Words Words Words,Bo Burnham,pop,188866,0.488,0.655,-6.968,0.37,0.876,0,0.847,90.75,,-2.249708717,-0.809532506,-2.152823419
Binary Reality,Words Words Words,Bo Burnham,pop,161426,0.565,0.643,-12.555,0.923,0.794,0,0.268,48.152,,-2.322776613,0.18251684,-4.29163895
A Prayer/How Do We Fix Africa?,Words Words Words,Bo Burnham,pop,79346,0.572,0.507,-14.522,0.94,0.79,0,0.376,85.383,,-2.818247345,-0.626906447,-5.864137742
Rant,Words Words Words,Bo Burnham,pop,216266,0.739,0.783,-5.583,0.481,0.695,0,0.611,120.025,,-0.856018772,-1.230867512,-2.532643324
Art Is Dead,Words Words Words,Bo Burnham,pop,152893,0.523,0.616,-6.167,0.0566,0.844,0,0.703,85.531,,-3.027279557,-0.746412963,-0.567866447
1985,INSIDE (DELUXE),Bo Burnham,pop,146654,0.646,0.724,-7.466,0.0475,0.0432,0,0.894,155.85,,-0.636946418,-1.858113513,-0.189103746
Sad,What.,Bo Burnham,pop,263099,0.392,0.639,-5.737,0.063,0.71,0,0.352,96.651,,-2.063734864,1.309312987,0.114555727
I F--K Sl--Ts,What.,Bo Burnham,pop,200552,0.625,0.569,-11.362,0.893,0.649,0,0.479,117.815,,-1.601198167,-0.204039683,-4.430427956
Wdidln?,What.,Bo Burnham,pop,116028,0.583,0.728,-8.58,0.89,0.648,0,0.283,111.723,,-0.552893044,-0.636205569,-4.997803564
"Left Brain, Right Brain",What.,Bo Burnham,pop,394392,0.462,0.704,-6.011,0.621,0.639,0,0.548,169.408,,-0.009799012,1.135808561,-2.464271311
