Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added At,Genres,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
4AM,Songs of the SMP,Derivakat,2021-02-26,208644,47,2025-03-20T21:10:44Z,,0.528,2.0,-5.492,0.0398,0.804,0.0,0.216,0.363,82.686,4.0,2.0
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,231124,80,2025-03-20T21:10:44Z,,0.632,6.0,-4.856,0.0346,0.0623,0.0,0.0885,0.474,130.033,4.0,5.0
SUBURBIA,Blue Neighbourhood (Deluxe),Troye Sivan,2015-12-04,233759,40,2025-03-20T21:10:44Z,,0.49,8.0,-5.925,0.103,0.019,0.0,0.107,0.36,77.927,4.0,2.0
Sunroof,Good Times Go,"Nicky Youre,hey daisy",2023-06-09,163025,82,2025-03-20T21:10:44Z,,0.768,10.0,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,4.0,8.0
Dance in the Living Room,Dance in the Living Room,"NVTHVN,Forrest.,Park Bird,Ok2222",2018-07-25,244539,40,2025-03-20T21:10:44Z,lo-fi beats,0.758,6.0,-5.037,0.085,0.0953,2.11e-06,0.149,0.73,109.953,4.0,1.0
Houdini,Radical Optimism,Dua Lipa,2024-05-03,185917,84,2025-03-20T21:10:44Z,pop,0.744,9.0,-4.876,0.059,0.0036,0.00144,0.0947,0.866,116.985,4.0,3.0
Kill This Love,KILL THIS LOVE,BLACKPINK,2019-04-05,191050,72,2025-03-20T21:10:44Z,k-pop,0.763,2.0,-5.234,0.191,0.323,0.00221,0.225,0.645,131.875,4.0,2.0
Immortals,American Beauty/American Psycho,Fall Out Boy,2015-01-16,189386,75,2025-03-20T21:10:44Z,"emo,pop punk,emo pop",0.616,2.0,-3.606,0.0699,0.00131,1.54e-06,0.671,0.475,108.016,4.0,1.0
Classic,MKTO,MKTO,2012,175426,81,2025-03-20T21:10:44Z,,0.72,1.0,-4.689,0.124,0.0384,0.0,0.157,0.756,102.071,4.0,2.0
Daydreamin,Daydreamin,Jonathan Tilkin,2017-08-17,207457,33,2025-03-20T21:10:44Z,,0.759,9.0,-3.742,0.0521,0.226,0.0,0.091,0.399,118.035,4.0,3.0
Through and Through,Through and Through,khai dreams,2017-12-04,113684,52,2025-03-20T21:10:44Z,,0.851,6.0,-9.307,0.0463,0.383,0.0,0.0843,0.591,94.927,4.0,3.0
Take It Easy,Horizons,Surfaces,2020-02-28,212849,56,2025-03-20T21:10:44Z,,0.765,6.0,-5.82,0.0463,0.225,8.68e-06,0.112,0.487,144.962,4.0,2.0
Monster (feat. Olivia Olson & Half Shy),Adventure Time: Distant Lands - Obsidian (Original Soundtrack) [Deluxe Edition],"Adventure Time,Half Shy,Olivia Olson",2020-12-04,99015,58,2025-03-20T21:10:44Z,,0.755,4.0,-16.616,0.137,0.885,1.54e-06,0.127,0.422,125.143,4.0,4.0
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,82,2025-03-20T21:10:44Z,,0.563,9.0,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,4.0,12.0
Cloud 9,Honeymoon,Beach Bunny,2020-02-14,147350,74,2025-03-20T21:10:44Z,,0.635,4.0,-3.593,0.0496,0.00167,1.86e-05,0.344,0.904,80.983,4.0,4.0
